movie_id,title,tags
19995,avatar,22nd century paraplegic marine dispatched moon pandora unique mission torn following orders protecting alien civilization action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver jamescameron
285,pirates of the caribbean: at world's end,captain barbossa long believed dead come life headed edge earth turner elizabeth swann adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley goreverbinski
206647,spectre,cryptic message bond past sends trail uncover sinister organization m battles political forces secret service alive bond peels layers deceit reveal terrible truth spectre action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux sammendes
49026,the dark knight rises,following death district attorney harvey dent batman assumes responsibility dent crimes protect late attorney reputation subsequently hunted gotham city police department years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gotham finest dark knight resurfaces protect city branded enemy action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman christophernolan
49529,john carter,john carter war weary military captain inexplicably transported mysterious exotic planet barsoom mars reluctantly embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton andrewstanton
559,spider-man 3,seemingly invincible spider man goes new crop villain including shape shifting sandman spider man superpowers altered alien organism alter ego peter parker deals nemesis eddie brock gets caught love triangle fantasy action adventure dualidentity amnesia sandstorm forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco samraimi
38757,tangled,kingdom wanted charming bandit flynn rider hides mysterious tower taken hostage rapunzel beautiful feisty tower bound teen 70 feet magical golden hair flynn curious captor looking ticket tower locked away years strikes deal handsome thief unlikely duo sets action packed escapade complete super cop horse protective chameleon gruff gang pub thugs animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick zacharylevi mandymoore donnamurphy byronhoward
99861,avengers: age of ultron,tony stark tries jumpstart dormant peacekeeping program things awry earth mightiest heroes ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d robertdowneyjr chrishemsworth markruffalo josswhedon
767,harry potter and the half-blood prince,harry begins sixth year hogwarts discovers old book marked property half blood prince begins learn lord voldemort dark past adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson davidyates
209112,batman v superman: dawn of justice,fearing actions god like super hero left unchecked gotham city formidable forceful vigilante takes metropolis revered modern day savior world wrestles sort hero needs batman superman war new threat quickly arises putting mankind greater danger known action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot zacksnyder
1452,superman returns,superman returns discover 5 year absence allowed lex luthor walk free closest felt abandoned moved luthor plots ultimate revenge millions killed change face planet forever ridding man steel adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth bryansinger
10764,quantum of solace,quantum solace continues adventures james bond casino royale betrayed vesper woman loved 007 fights urge latest mission personal pursuing determination uncover truth bond m interrogate mr white reveals organization blackmailed vesper far complex dangerous imagined adventure action thriller crime killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric marcforster
58,pirates of the caribbean: dead man's chest,captain jack sparrow works way blood debt ghostly davey jones attempts avoid eternal damnation adventure fantasy action witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley goreverbinski
57201,the lone ranger,texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing survivor found american indian named tonto nurses health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang ilk justice action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner goreverbinski
